#Time	Computed	Exact
0.025	20	20
0.05	20	20
0.075	20	20
0.1	20	20
0.125	20	20
0.15	20	20
0.175	20	20
0.2	20	20
0.225	20	20
0.25	20	20
0.275	20	20
0.3	20	20
0.325	20	20
0.35	20	20
0.375	20	20
0.4	20	20
0.425	20	20
0.45	20	20
0.475	20	20
0.5	20	20
0.525	20	20
0.55	20	20
0.575	20	20
0.6	20	20
0.625	20	20
0.65	20	20
0.675	20	20
0.7	20	20
0.725	20	20
0.75	20	20
0.775	20	20
0.8	20	20
0.825	20	20
0.85	20	20
0.875	20	20
0.9	20	20
0.925	20	20
0.95	20	20
0.975	20	20
1	20	20
1.025	20	20
1.05	20	20
1.075	20	20
1.1	20	20
1.125	20	20
1.15	20	20
1.175	20	20
1.2	20	20
1.225	20	20
1.25	20	20
1.275	20	20
1.3	20	20
1.325	20	20
1.35	20	20
1.375	20	20
1.4	20	20
1.425	20	20
1.45	20	20
1.475	20	20
1.5	20	20
1.525	20	20
1.55	20	20
1.575	20	20
1.6	20	20
1.625	20	20
1.65	20	20
1.675	20	20
1.7	20	20
1.725	20	20
1.75	20	20
1.775	20	20
1.8	20	20
1.825	20	20
1.85	20	20
1.875	20	20
1.9	20	20
1.925	20	20
1.95	20	20
1.975	20	20
2	20	20
2.025	20	20
2.05	20	20
2.075	20	20
2.1	20	20
2.125	20	20
2.15	20	20
2.175	20	20
2.2	20	20
2.225	20	20
2.25	20	20
2.275	20	20
2.3	20	20
2.325	20	20
2.35	20	20
2.375	20	20
2.4	20	20
2.425	20	20
2.45	20	20
2.475	20	20
2.5	20	20
2.525	20	20
2.55	20	20
2.575	20.0001	20
2.6	20.0001	20.0001
2.625	20.0001	20.0001
2.65	20.0001	20.0001
2.675	20.0001	20.0001
2.7	20.0001	20.0001
2.725	20.0001	20.0001
2.75	20.0001	20.0001
2.775	20.0001	20.0001
2.8	20.0002	20.0001
2.825	20.0002	20.0001
2.85	20.0002	20.0002
2.875	20.0002	20.0002
2.9	20.0002	20.0002
2.925	20.0003	20.0002
2.95	20.0003	20.0002
2.975	20.0003	20.0003
3	20.0004	20.0003
3.025	20.0004	20.0003
3.05	20.0004	20.0004
3.075	20.0005	20.0004
3.1	20.0005	20.0005
3.125	20.0006	20.0005
3.15	20.0007	20.0006
3.175	20.0007	20.0006
3.2	20.0008	20.0007
3.225	20.0009	20.0008
3.25	20.001	20.0009
3.275	20.0011	20.0009
3.3	20.0012	20.001
3.325	20.0013	20.0012
3.35	20.0015	20.0013
3.375	20.0016	20.0014
3.4	20.0018	20.0016
3.425	20.002	20.0017
3.45	20.0022	20.0019
3.475	20.0024	20.0021
3.5	20.0026	20.0023
3.525	20.0029	20.0026
3.55	20.0032	20.0028
3.575	20.0035	20.0031
3.6	20.0039	20.0035
3.625	20.0043	20.0038
3.65	20.0047	20.0042
3.675	20.0052	20.0046
3.7	20.0057	20.0051
3.725	20.0063	20.0056
3.75	20.0069	20.0062
3.775	20.0076	20.0068
3.8	20.0083	20.0075
3.825	20.0091	20.0082
3.85	20.01	20.009
3.875	20.011	20.0099
3.9	20.0121	20.0109
3.925	20.0132	20.0119
3.95	20.0145	20.0131
3.975	20.0159	20.0144
4	20.0174	20.0158
4.025	20.0191	20.0173
4.05	20.0209	20.019
4.075	20.0228	20.0208
4.1	20.025	20.0228
4.125	20.0274	20.025
4.15	20.0299	20.0273
4.175	20.0327	20.0299
4.2	20.0357	20.0327
4.225	20.039	20.0358
4.25	20.0426	20.0392
4.275	20.0466	20.0428
4.3	20.0508	20.0468
4.325	20.0555	20.0511
4.35	20.0605	20.0558
4.375	20.066	20.0609
4.4	20.0719	20.0665
4.425	20.0784	20.0725
4.45	20.0854	20.0791
4.475	20.093	20.0862
4.5	20.1013	20.094
4.525	20.1102	20.1024
4.55	20.1199	20.1115
4.575	20.1304	20.1214
4.6	20.1418	20.1321
4.625	20.1542	20.1438
4.65	20.1675	20.1564
4.675	20.182	20.17
4.7	20.1976	20.1848
4.725	20.2145	20.2008
4.75	20.2328	20.2181
4.775	20.2526	20.2368
4.8	20.2739	20.257
4.825	20.297	20.2789
4.85	20.3219	20.3025
4.875	20.3487	20.328
4.9	20.3777	20.3555
4.925	20.4089	20.3852
4.95	20.4426	20.4173
4.975	20.4789	20.4518
5	20.518	20.4891
5.025	20.5601	20.5292
5.05	20.6054	20.5724
5.075	20.6541	20.619
5.1	20.7065	20.669
5.125	20.7629	20.7229
5.15	20.8235	20.7809
5.175	20.8886	20.8432
5.2	20.9585	20.9101
5.225	21.0335	20.9821
5.25	21.1141	21.0593
5.275	21.2005	21.1422
5.3	21.2931	21.2312
5.325	21.3925	21.3266
5.35	21.4989	21.4289
5.375	21.613	21.5386
5.4	21.7351	21.6561
5.425	21.8657	21.7819
5.45	22.0056	21.9166
5.475	22.1551	22.0607
5.5	22.3151	22.2149
5.525	22.486	22.3798
5.55	22.6685	22.5561
5.575	22.8635	22.7444
