#Z	Computed	Exact
-0.05	20	20.0009
-0.049	20.0008	20.0013
-0.048	20.0016	20.0019
-0.047	20.0027	20.0028
-0.046	20.0042	20.0042
-0.045	20.0062	20.0061
-0.044	20.0091	20.0089
-0.043	20.0132	20.0129
-0.042	20.0188	20.0185
-0.041	20.0267	20.0263
-0.04	20.0376	20.0371
-0.039	20.0526	20.0521
-0.038	20.0731	20.0726
-0.037	20.1008	20.1005
-0.036	20.1382	20.1381
-0.035	20.1882	20.1884
-0.034	20.2546	20.2553
-0.033	20.342	20.3436
-0.032	20.4565	20.4593
-0.031	20.6053	20.6099
-0.03	20.7972	20.8042
-0.029	21.0433	21.0534
-0.028	21.3562	21.3706
-0.027	21.7517	21.7715
-0.026	22.2479	22.2745
-0.025	22.8662	22.9013
-0.024	23.631	23.6767
-0.023	24.5707	24.6293
-0.022	25.7173	25.7913
-0.021	27.1065	27.1989
-0.02	28.7783	28.8922
-0.019	30.7767	30.9152
-0.018	33.1488	33.3155
-0.017	35.9455	36.1442
-0.016	39.2208	39.455
-0.015	43.0306	43.3043
-0.014	47.4332	47.7498
-0.013	52.4873	52.8499
-0.012	58.2511	58.6628
-0.011	64.7827	65.245
-0.01	72.1341	72.6508
-0.009	80.3596	80.9303
-0.008	89.5022	90.1285
-0.007	99.6034	100.285
-0.006	110.695	111.43
-0.005	122.8	123.588
-0.004	135.936	136.772
-0.003	150.104	150.987
-0.002	165.302	166.227
-0.001	181.513	182.477
3.46945e-17	198.717	199.711
0.001	216.872	217.893
0.002	235.938	236.98
0.003	255.865	256.922
0.004	276.599	277.659
0.005	298.068	299.132
0.006	320.21	321.274
0.007	342.963	344.02
0.008	366.26	367.303
0.009	390.037	391.061
0.01	414.233	415.236
0.011	438.796	439.774
0.012	463.689	464.632
0.013	488.851	489.773
0.014	514.282	515.175
0.015	539.965	540.823
0.016	565.892	566.719
0.017	592.076	592.877
0.018	618.564	619.326
0.019	645.369	646.11
0.02	672.581	673.291
0.021	700.245	700.944
0.022	728.5	729.165
0.023	757.411	758.066
0.024	787.136	787.779
0.025	817.843	818.458
0.026	849.663	850.279
0.027	882.813	883.443
0.028	917.553	918.18
0.029	954.1	954.757
0.03	992.772	993.477
0.031	1033.99	1034.69
0.032	1078.03	1078.82
0.033	1125.48	1126.34
0.034	1176.9	1177.83
0.035	1232.95	1234
0.036	1294.51	1295.7
0.037	1362.68	1364.01
0.038	1438.71	1440.31
0.039	1524.55	1526.42
0.04	1622.53	1624.79
0.041	1736.17	1738.82
0.042	1869.54	1873.23
0.043	2029.15	2033.97
0.044	2221.8	2226.95
0.045	2446.62	2453.77
0.046	2694.59	2704.29
0.047	2937.93	2949.25
0.048	3130.52	3141.46
0.049	3224.28	3233.39
0.05	3202.33	3207.95
0.051	3097.92	3100.21
0.052	2951.06	2952.46
0.053	2782.44	2782.33
0.054	2598.6	2598.06
0.055	2407.93	2404.89
0.056	2209.37	2206.97
0.057	2011.08	2007.95
0.058	1814.42	1811.12
0.059	1622.62	1619.43
0.06	1440.24	1435.44
0.061	1265.63	1261.29
0.062	1102.2	1098.63
0.063	952.361	948.678
0.064	816.977	812.179
0.065	692.821	689.456
0.066	583.667	580.453
0.067	487.955	484.788
0.068	404.348	401.812
0.069	332.91	330.675
0.07	271.948	270.386
0.071	221.436	219.869
0.072	179.501	178.016
0.073	144.872	143.727
0.074	116.901	115.945
0.075	94.4547	93.683
0.076	76.707	76.039
0.077	62.7056	62.2069
0.078	51.9013	51.4802
0.079	43.5496	43.2514
0.08	37.2678	37.0063
0.081	32.5029	32.3173
0.082	28.9808	28.8341
0.083	26.3862	26.274
0.084	24.4926	24.4122
0.085	23.1292	23.0726
0.086	22.161	22.1187
0.087	21.4759	21.4467
0.088	20.9997	20.9781
0.089	20.6703	20.6549
0.09	20.4449	20.4341
0.091	20.2922	20.285
0.092	20.1902	20.1852
0.093	20.1226	20.1192
0.094	20.0783	20.076
0.095	20.0495	20.048
0.096	20.031	20.03
0.097	20.0192	20.0185
0.098	20.0118	20.0114
0.099	20.0072	20.0069
0.1	20.0043	20.0041
0.101	20.0026	20.0025
0.102	20.0015	20.0015
0.103	20.0009	20.0008
0.104	20.0005	20.0005
0.105	20.0003	20.0003
0.106	20.0002	20.0002
0.107	20.0001	20.0001
0.108	20.0001	20
0.109	20	20
0.11	20	20
0.111	20	20
0.112	20	20
0.113	20	20
0.114	20	20
0.115	20	20
0.116	20	20
0.117	20	20
0.118	20	20
0.119	20	20
0.12	20	20
0.121	20	20
0.122	20	20
0.123	20	20
0.124	20	20
0.125	20	20
0.126	20	20
0.127	20	20
0.128	20	20
0.129	20	20
0.13	20	20
0.131	20	20
0.132	20	20
0.133	20	20
0.134	20	20
0.135	20	20
0.136	20	20
0.137	20	20
0.138	20	20
0.139	20	20
0.14	20	20
0.141	20	20
0.142	20	20
0.143	20	20
0.144	20	20
0.145	20	20
0.146	20	20
0.147	20	20
0.148	20	20
0.149	20	20
