#Time	Computed	Exact
0.025	20	20
0.05	20	20
0.075	20	20
0.1	20	20
0.125	20	20
0.15	20	20
0.175	20	20
0.2	20	20
0.225	20	20
0.25	20	20
0.275	20	20
0.3	20	20
0.325	20	20
0.35	20	20
0.375	20	20
0.4	20	20
0.425	20	20
0.45	20	20
0.475	20	20
0.5	20	20
0.525	20	20
0.55	20	20
0.575	20	20
0.6	20	20
0.625	20	20
0.65	20	20
0.675	20	20
0.7	20	20
0.725	20	20
0.75	20	20
0.775	20	20
0.8	20	20
0.825	20	20
0.85	20	20
0.875	20	20
0.9	20	20
0.925	20	20
0.95	20	20
0.975	20	20
1	20	20
1.025	20	20
1.05	20	20
1.075	20	20
1.1	20	20
1.125	20	20
1.15	20	20
1.175	20	20
1.2	20	20
1.225	20	20
1.25	20	20
1.275	20	20
1.3	20	20
1.325	20	20
1.35	20	20
1.375	20	20
1.4	20	20
1.425	20	20
1.45	20	20
1.475	20	20
1.5	20	20
1.525	20	20
1.55	20	20
1.575	20	20
1.6	20	20
1.625	20	20
1.65	20	20
1.675	20	20
1.7	20	20
1.725	20	20
1.75	20	20
1.775	20	20
1.8	20	20
1.825	20	20
1.85	20	20
1.875	20	20
1.9	20	20
1.925	20	20
1.95	20	20
1.975	20	20
2	20	20
2.025	20	20
2.05	20	20
2.075	20	20
2.1	20	20
2.125	20	20
2.15	20	20
2.175	20	20
2.2	20	20
2.225	20	20
2.25	20	20
2.275	20	20
2.3	20	20
2.325	20	20
2.35	20	20
2.375	20	20
2.4	20	20
2.425	20	20
2.45	20	20
2.475	20	20
2.5	20	20
2.525	20	20
2.55	20	20
2.575	20	20
2.6	20	20
2.625	20	20
2.65	20	20
2.675	20	20
2.7	20	20
2.725	20	20
2.75	20	20
2.775	20	20
2.8	20	20
2.825	20	20
2.85	20	20
2.875	20	20
2.9	20	20
2.925	20	20
2.95	20	20
2.975	20	20
3	20	20
3.025	20	20
3.05	20	20
3.075	20	20
3.1	20	20
3.125	20	20
3.15	20	20
3.175	20	20
3.2	20	20
3.225	20	20
3.25	20	20
3.275	20	20
3.3	20	20
3.325	20	20
3.35	20	20
3.375	20	20
3.4	20	20
3.425	20	20
3.45	20	20
3.475	20	20
3.5	20	20
3.525	20	20
3.55	20	20
3.575	20	20
3.6	20	20
3.625	20	20
3.65	20	20
3.675	20	20
3.7	20	20
3.725	20	20
3.75	20	20
3.775	20	20
3.8	20	20
3.825	20	20
3.85	20	20
3.875	20	20
3.9	20	20
3.925	20	20
3.95	20	20
3.975	20	20
4	20	20
4.025	20	20
4.05	20	20
4.075	20	20
4.1	20	20
4.125	20	20
4.15	20	20
4.175	20	20
4.2	20	20
4.225	20	20
4.25	20	20
4.275	20	20
4.3	20	20
4.325	20	20
4.35	20	20
4.375	20	20
4.4	20	20
4.425	20	20
4.45	20	20
4.475	20	20
4.5	20	20
4.525	20	20
4.55	20	20
4.575	20	20
4.6	20	20
4.625	20	20
4.65	20	20
4.675	20	20
4.7	20	20
4.725	20	20
4.75	20	20
4.775	20	20
4.8	20	20
4.825	20	20
4.85	20	20
4.875	20	20
4.9	20	20
4.925	20	20
4.95	20	20
4.975	20	20
5	20	20
5.025	20	20
5.05	20	20
5.075	20	20
5.1	20	20
5.125	20	20
5.15	20	20
5.175	20	20
5.2	20	20
5.225	20	20
5.25	20	20
5.275	20	20
5.3	20	20
5.325	20	20
5.35	20	20
5.375	20	20
5.4	20.0001	20
5.425	20.0001	20
5.45	20.0001	20
5.475	20.0001	20
5.5	20.0001	20
5.525	20.0001	20
5.55	20.0001	20.0001
5.575	20.0001	20.0001
5.6	20.0001	20.0001
5.625	20.0001	20.0001
5.65	20.0002	20.0001
5.675	20.0002	20.0001
5.7	20.0002	20.0001
5.725	20.0002	20.0001
5.75	20.0002	20.0001
5.775	20.0003	20.0001
5.8	20.0003	20.0002
5.825	20.0003	20.0002
5.85	20.0004	20.0002
5.875	20.0004	20.0002
5.9	20.0005	20.0003
5.925	20.0005	20.0003
5.95	20.0006	20.0003
5.975	20.0006	20.0004
6	20.0007	20.0004
6.025	20.0008	20.0004
6.05	20.0009	20.0005
6.075	20.001	20.0005
6.1	20.0011	20.0006
6.125	20.0012	20.0007
6.15	20.0013	20.0008
6.175	20.0015	20.0009
6.2	20.0016	20.001
6.225	20.0018	20.0011
6.25	20.002	20.0012
6.275	20.0022	20.0013
6.3	20.0025	20.0015
6.325	20.0027	20.0016
6.35	20.003	20.0018
6.375	20.0034	20.002
6.4	20.0037	20.0023
6.425	20.0041	20.0026
6.45	20.0046	20.0028
6.475	20.0051	20.0032
6.5	20.0057	20.0035
6.525	20.0063	20.004
6.55	20.007	20.0044
6.575	20.0078	20.0049
6.6	20.0086	20.0055
6.625	20.0096	20.0061
6.65	20.0107	20.0069
6.675	20.0118	20.0077
6.7	20.0132	20.0086
6.725	20.0146	20.0096
6.75	20.0162	20.0107
6.775	20.018	20.0119
6.8	20.0201	20.0133
