#Z	Computed	Exact
-0.05	20	20.2507
-0.049	20.1253	20.3213
-0.048	20.2568	20.4101
-0.047	20.401	20.5212
-0.046	20.5647	20.6597
-0.045	20.7552	20.8314
-0.044	20.9811	21.0434
-0.043	21.2511	21.3039
-0.042	21.5758	21.6228
-0.041	21.967	22.0111
-0.04	22.4382	22.4821
-0.039	23.0046	23.0507
-0.038	23.6834	23.734
-0.037	24.4942	24.5515
-0.036	25.459	25.5251
-0.035	26.6021	26.6794
-0.034	27.9509	28.0417
-0.033	29.5354	29.6422
-0.032	31.3891	31.5141
-0.031	33.5471	33.6933
-0.03	36.0489	36.2188
-0.029	38.9354	39.1322
-0.028	42.251	42.4777
-0.027	46.0429	46.3017
-0.026	50.3577	50.6525
-0.025	55.247	55.5798
-0.024	60.7593	61.1342
-0.023	66.9476	67.3663
-0.022	73.8615	74.3264
-0.021	81.5492	82.0632
-0.02	90.0595	90.6233
-0.019	99.435	100.05
-0.018	109.716	110.383
-0.017	120.938	121.656
-0.016	133.13	133.897
-0.015	146.312	147.128
-0.014	160.497	161.363
-0.013	175.699	176.607
-0.012	191.909	192.858
-0.011	209.122	210.105
-0.01	227.31	228.326
-0.009	246.454	247.495
-0.008	266.511	267.572
-0.007	287.443	288.516
-0.006	309.196	310.275
-0.005	331.714	332.795
-0.004	354.944	356.018
-0.003	378.819	379.882
-0.002	403.284	404.33
-0.001	428.277	429.304
3.46945e-17	453.754	454.75
0.001	479.655	480.623
0.002	505.947	506.886
0.003	532.607	533.512
0.004	559.625	560.487
0.005	586.982	587.814
0.006	614.704	615.51
0.007	642.836	643.614
0.008	671.43	672.181
0.009	700.567	701.293
0.01	730.34	731.051
0.011	760.879	761.583
0.012	792.362	793.042
0.013	824.909	825.611
0.014	858.777	859.497
0.015	894.203	894.939
0.016	931.442	932.203
0.017	970.748	971.586
0.018	1012.56	1013.41
0.019	1057.06	1058.02
0.02	1104.78	1105.77
0.021	1155.83	1157.05
0.022	1210.99	1212.23
0.023	1270.22	1271.67
0.024	1334.09	1335.71
0.025	1402.92	1404.62
0.026	1476.83	1478.61
0.027	1555.55	1557.79
0.028	1639.79	1642.11
0.029	1728.57	1731.36
0.03	1822.02	1825.13
0.031	1919.82	1922.75
0.032	2019.84	2023.31
0.033	2121.6	2125.56
0.034	2224.02	2227.99
0.035	2324.54	2328.72
0.036	2420.99	2425.59
0.037	2511.35	2516.16
0.038	2592.77	2597.71
0.039	2662.85	2667.33
0.04	2717.12	2721.98
0.041	2754.17	2758.54
0.042	2768.81	2773.91
0.043	2760.38	2765.03
0.044	2725.1	2728.96
0.045	2661.1	2662.89
0.046	2561.67	2564.03
0.047	2427.99	2429.47
0.048	2256.59	2255.75
0.049	2039.87	2037.95
0.05	1771.36	1767.55
0.051	1440.18	1432.38
0.052	1065.38	1057.05
0.053	714.96	704.268
0.054	434.524	424.904
0.055	243.8	235.708
0.056	130.003	124.411
0.057	70.3212	66.5831
0.058	41.5738	39.5253
0.059	28.9386	27.8597
0.06	23.6735	23.1041
0.061	21.509	21.2232
0.062	20.6224	20.4856
0.063	20.2599	20.1949
0.064	20.1099	20.0791
0.065	20.0468	20.0324
0.066	20.0201	20.0134
0.067	20.0086	20.0055
0.068	20.0037	20.0023
0.069	20.0015	20.001
0.07	20.0006	20.0004
0.071	20.0002	20.0002
0.072	19.9999	20.0001
0.073	19.9998	20
0.074	19.9998	20
0.075	19.9999	20
0.076	19.9999	20
0.077	19.9999	20
0.078	19.9999	20
0.079	19.9999	20
0.08	20	20
0.081	20	20
0.082	20	20
0.083	20	20
0.084	20	20
0.085	20	20
0.086	20	20
0.087	20	20
0.088	20	20
0.089	20	20
0.09	20	20
0.091	20	20
0.092	20	20
0.093	20	20
0.094	20	20
0.095	20	20
0.096	20	20
0.097	20	20
0.098	20	20
0.099	20	20
0.1	20	20
0.101	20	20
0.102	20	20
0.103	20	20
0.104	20	20
0.105	20	20
0.106	20	20
0.107	20	20
0.108	20	20
0.109	20	20
0.11	20	20
0.111	20	20
0.112	20	20
0.113	20	20
0.114	20	20
0.115	20	20
0.116	20	20
0.117	20	20
0.118	20	20
0.119	20	20
0.12	20	20
0.121	20	20
0.122	20	20
0.123	20	20
0.124	20	20
0.125	20	20
0.126	20	20
0.127	20	20
0.128	20	20
0.129	20	20
0.13	20	20
0.131	20	20
0.132	20	20
0.133	20	20
0.134	20	20
0.135	20	20
0.136	20	20
0.137	20	20
0.138	20	20
0.139	20	20
0.14	20	20
0.141	20	20
0.142	20	20
0.143	20	20
0.144	20	20
0.145	20	20
0.146	20	20
0.147	20	20
0.148	20	20
0.149	20	20
